<Athletic_Park_(Vancouver)>	Athletic Park (Vancouver)
<Luo_Yixiu>	Luo Yixiu
<Jack_Kilby>	Jack Kilby
<Life's_a_Breeze>	Life's a Breeze
<Sylvia_(ballet)>	Sylvia (ballet)
<Arne_Sucksdorff>	Arne Sucksdorff
<Ole_Nilsen_Weierholt>	Ole Nilsen Weierholt
<Torre_PwC>	Torre PwC
<Conor_Casey>	Conor Casey
<Mary_Jo_Eustace>	Mary Jo Eustace
<Adrian_(costume_designer)>	Adrian (costume designer)
<Winchelsea,_Victoria>	Winchelsea, Victoria
<Nancy_Hicks_Maynard>	Nancy Hicks Maynard
<The_Country_Club>	The Country Club
<Southern_Federal_University>	Southern Federal University
<Swedish_Theatre>	Swedish Theatre
<Rudy_Giuliani>	Rudy Giuliani
<Patsy_Ramsey>	Patsy Ramsey
<Nicholas_Serracino>	Nicholas Serracino
<Helen_Herron_Taft>	Helen Herron Taft
<Gary_Collins_(actor)>	Gary Collins (actor)
<EA_Canada>	EA Canada
<Salisbury_City_F.C.>	Salisbury City F.C.
<Goodbye,_Franziska_(1957_film)>	Goodbye, Franziska (1957 film)
<Bhavesh_Bhatt>	Bhavesh Bhatt
<Max_Planck_Medal>	Max Planck Medal
<Ego_Is_the_Enemy>	Ego Is the Enemy
<Nicholas_Lydon>	Nicholas Lydon
<Hôtel_de_Paris_Monte-Carlo>	Hôtel de Paris Monte-Carlo
<Sebastián_Herrera>	Sebastián Herrera
<Carol_V._Robinson>	Carol V. Robinson
<Hollywood>	Hollywood
<Helene_Rosson>	Helene Rosson
<Karen_Sharpe>	Karen Sharpe
<Croatia_national_under-20_football_team>	Croatia national under-20 football team
<Loose_Women>	Loose Women
<John_S._Waugh>	John S. Waugh
<Telefunken>	Telefunken
<Wayne_Morse>	Wayne Morse
<Bolyai_Prize>	Bolyai Prize
<Joseph_Goebbels>	Joseph Goebbels
<Thievy_Bifouma>	Thievy Bifouma
<Jean_Smart>	Jean Smart
<Adrian_College>	Adrian College
<Dorothy_Howell_Rodham>	Dorothy Howell Rodham
<Wild_Fermentation>	Wild Fermentation
<IEAH_Stables>	IEAH Stables
<May_(film)>	May (film)
<Sally_Pressman>	Sally Pressman
<RoboCop>	RoboCop
<The_Republicans_(France)>	The Republicans (France)
<Fernando_Fernán_Gómez>	Fernando Fernán Gómez
<Klara_Luchko>	Klara Luchko
<Chelmsford_City_F.C.>	Chelmsford City F.C.
<Amsterdam>	Amsterdam
<Hellas_Verona_F.C.>	Hellas Verona F.C.
<Frank_Marshall_(producer)>	Frank Marshall (producer)
<Shaggy_(musician)>	Shaggy (musician)
<Łazienki_Palace>	Łazienki Palace
<Squibs'_Honeymoon>	Squibs' Honeymoon
<Democratic_Social_Party>	Democratic Social Party
<Maciej_Grubski>	Maciej Grubski
<Sidney_Kingsley>	Sidney Kingsley
<Robert_J._Reiley>	Robert J. Reiley
<Rainbow_Studios>	Rainbow Studios
<Exquisite_Corpse_(novel)>	Exquisite Corpse (novel)
<THQ_Studio_Australia>	THQ Studio Australia
<Sandor_Katz>	Sandor Katz
<Tom_Frame_(bishop)>	Tom Frame (bishop)
<Northern_Ireland_national_under-21_football_team>	Northern Ireland national under-21 football team
<VfL_Bochum>	VfL Bochum
<Rachel_Kushner>	Rachel Kushner
<750_7th_Avenue>	750 7th Avenue
<Ithaca,_New_York>	Ithaca, New York
<Swain_(horse)>	Swain (horse)
<Middlesbrough_F.C.>	Middlesbrough F.C.
<Oracle_Corporation>	Oracle Corporation
<Cheney_Stadium>	Cheney Stadium
<Constance_Worth>	Constance Worth
<Nuno_Santos_(footballer,_born_1978)>	Nuno Santos (footballer, born 1978)
<Mark_Goodson>	Mark Goodson
<Harry_Mulisch>	Harry Mulisch
<Works_Progress_Administration>	Works Progress Administration
<Sergio_Castellitto>	Sergio Castellitto
<Joy_Davidman>	Joy Davidman
<Robert_Spencer_(author)>	Robert Spencer (author)
<Franco_Bassanini>	Franco Bassanini
<Bob_Joshua>	Bob Joshua
<Sunderland_A.F.C.>	Sunderland A.F.C.
<Keith_Larsen>	Keith Larsen
<Josephine_Tewson>	Josephine Tewson
<University_of_Vienna>	University of Vienna
<Esbjerg_Station>	Esbjerg Station
<William_Gibson>	William Gibson
<Gordon_Carroll>	Gordon Carroll
<Clara_Harris>	Clara Harris
<Édgar_Méndez>	Édgar Méndez
<Frederick_Vine>	Frederick Vine
<Verne_Orr>	Verne Orr
<Laban_ng_Demokratikong_Pilipino>	Laban ng Demokratikong Pilipino
<Weymouth_F.C.>	Weymouth F.C.
<Ruth_Ford_(actress)>	Ruth Ford (actress)
<John_C._Calhoun>	John C. Calhoun
<Gary_Carr_(politician)>	Gary Carr (politician)
<Gregory_Fu>	Gregory Fu
<Vijaya_Kumaranatunga>	Vijaya Kumaranatunga
<King's_Theatre,_Glasgow>	King's Theatre, Glasgow
<Merstone_railway_station>	Merstone railway station
<David_Villa>	David Villa
<Margaret_Geller>	Margaret Geller
<Chuck_Barris>	Chuck Barris
<Alben_W._Barkley>	Alben W. Barkley
<Ted_Hill_(mathematician)>	Ted Hill (mathematician)
<Lenovo_IdeaPad_S12>	Lenovo IdeaPad S12
<Modern_Painters>	Modern Painters
<China_Baowu_Steel_Group>	China Baowu Steel Group
<Continental_Championship_Wrestling>	Continental Championship Wrestling
<Ezola_Foster>	Ezola Foster
<Shin'ichirō_Tomonaga>	Shin'ichirō Tomonaga
<Puhua_Investment>	Puhua Investment
<Robert_Longo>	Robert Longo
<Christopher_Nolan>	Christopher Nolan
<Edgar_de_Wahl>	Edgar de Wahl
<Thomas_H._Leonard>	Thomas H. Leonard
<Rudolph_A._Marcus>	Rudolph A. Marcus
<University_of_Oslo>	University of Oslo
<David_Rodríguez_Sánchez>	David Rodríguez Sánchez
<Károly_Nóti>	Károly Nóti
<Stephen_Jay_Gould>	Stephen Jay Gould
<Aloysio_Nunes>	Aloysio Nunes
<Santiago>	Santiago
<Nathan_Eccleston>	Nathan Eccleston
<Son_Ji-chang>	Son Ji-chang
<Petar_Moskov>	Petar Moskov
<Mount_Vernon,_New_York>	Mount Vernon, New York
<Candy_Spelling>	Candy Spelling
<Arnold_Orville_Beckman>	Arnold Orville Beckman
<Jakarta>	Jakarta
<James_Cromwell>	James Cromwell
<Lenin_Peace_Prize>	Lenin Peace Prize
<Granville_Ryrie>	Granville Ryrie
<John_Fante>	John Fante
<Pamela_Franklin>	Pamela Franklin
<Ford_Thunderbird_(ninth_generation)>	Ford Thunderbird (ninth generation)
<Bakrie_Group>	Bakrie Group
<Joan_Greenwood>	Joan Greenwood
<Martin_Ostwald>	Martin Ostwald
<Scott_Holroyd>	Scott Holroyd
<St_Mary's_Church,_Llanfair-yng-Nghornwy>	St Mary's Church, Llanfair-yng-Nghornwy
<Miami>	Miami
<Watchingwell_Halt_railway_station>	Watchingwell Halt railway station
<Hamburg>	Hamburg
<Larry_Shinoda>	Larry Shinoda
<Percy_Williams_Bridgman>	Percy Williams Bridgman
<Elaine_Joyce>	Elaine Joyce
<Liam_Miller>	Liam Miller
<Edwin_Simandl>	Edwin Simandl
<Carol_Reed>	Carol Reed
<The_Army_Game>	The Army Game
<Tel_Aviv_Stock_Exchange>	Tel Aviv Stock Exchange
<Gia_Carides>	Gia Carides
<Sandra_Dorne>	Sandra Dorne
<Jack_Pickford>	Jack Pickford
<Steve_Smith_(academic)>	Steve Smith (academic)
<Japan_Academy_Prize_(academics)>	Japan Academy Prize (academics)
<Scotland_national_football_team>	Scotland national football team
<Dakshinaranjan_Mitra_Majumder>	Dakshinaranjan Mitra Majumder
<Judd_Apatow>	Judd Apatow
<Frank_Morales>	Frank Morales
<CERN>	CERN
<Clarence_Williams_(musician)>	Clarence Williams (musician)
<Beida_Jade_Bird_Universal_Sci-Tech>	Beida Jade Bird Universal Sci-Tech
<Chung_Laung_Liu>	Chung Laung Liu
<Betty_Lawford>	Betty Lawford
<Yul_Kwon>	Yul Kwon
<Desert_Inn>	Desert Inn
<Roberto_Merino>	Roberto Merino
<Grant_Show>	Grant Show
<Delphine_(novel)>	Delphine (novel)
<Christoph_Steinbeck>	Christoph Steinbeck
<Gabriela_Pichler>	Gabriela Pichler
<François_Baroin>	François Baroin
<James_Lee_(screenwriter)>	James Lee (screenwriter)
<Hazel_Rowley>	Hazel Rowley
<Smith_College>	Smith College
<Bursaspor>	Bursaspor
<Zaza_Burchuladze>	Zaza Burchuladze
<Charles_J._Fillmore>	Charles J. Fillmore
<Mackey_Arena>	Mackey Arena
<Rupesh_D._Gohil>	Rupesh D. Gohil
<Masabumi_Kikuchi>	Masabumi Kikuchi
<Wernher_von_Braun>	Wernher von Braun
<Louis_Delacenserie>	Louis Delacenserie
<Bloom_County>	Bloom County
<Michael_Brandon>	Michael Brandon
<Turin>	Turin
<Lincoln,_Nebraska>	Lincoln, Nebraska
<FC_Lokomotiv_Moscow>	FC Lokomotiv Moscow
<Transmission_Games>	Transmission Games
<Lippo_Group>	Lippo Group
<Marjorie_Rendell>	Marjorie Rendell
<Gerard_Oliva>	Gerard Oliva
<Turkey_national_football_team>	Turkey national football team
<Romeu_Tuma>	Romeu Tuma
<Harvard_University>	Harvard University
<Canal+_(Spanish_TV_channel)>	Canal+ (Spanish TV channel)
<For_Want_of_a_Nail_(novel)>	For Want of a Nail (novel)
<Bruges_City_Hall>	Bruges City Hall
<FC_Basel>	FC Basel
<Kenneth_Peach>	Kenneth Peach
<John_Travolta>	John Travolta
<Inkpot_Award>	Inkpot Award
<Alexander_Morgan_Hamilton>	Alexander Morgan Hamilton
<FC_Kuban_Krasnodar>	FC Kuban Krasnodar
<Nashville,_Tennessee>	Nashville, Tennessee
<Joseph_Hubert_McGuire>	Joseph Hubert McGuire
<Jörg_Schneider>	Jörg Schneider
<Harlow_Shapley>	Harlow Shapley
<Israel_Zangwill>	Israel Zangwill
<Debra_Marshall>	Debra Marshall
<Home_(Robinson_novel)>	Home (Robinson novel)
<Australian_Labor_Party_(Anti-Communist)>	Australian Labor Party (Anti-Communist)
<CF_Reus_Deportiu>	CF Reus Deportiu
<8½>	8½
<Gangs_of_New_York>	Gangs of New York
<Bob_Murawski>	Bob Murawski
<Art_Kim>	Art Kim
<People's_Alliance_(Spain)>	People's Alliance (Spain)
<Ram_Mohan_P>	Ram Mohan P
<Illinois>	Illinois
<Bruce_Timm>	Bruce Timm
<Scott_Sinclair>	Scott Sinclair
<Latvia_national_under-19_football_team>	Latvia national under-19 football team
<Jersey_City,_New_Jersey>	Jersey City, New Jersey
<Ford_Mustang_(sixth_generation)>	Ford Mustang (sixth generation)
<Samuel_Pierpont_Langley>	Samuel Pierpont Langley
<Elizabeth_Rees-Williams>	Elizabeth Rees-Williams
<Zubin_Mehta>	Zubin Mehta
<Isabel_dos_Santos>	Isabel dos Santos
<Da_Butt>	Da Butt
<Canterbury>	Canterbury
<Order_of_Merit_of_the_Federal_Republic_of_Germany>	Order of Merit of the Federal Republic of Germany
<George_Robotham>	George Robotham
<Mary_Jo_Deschanel>	Mary Jo Deschanel
<FC_Neman_Grodno>	FC Neman Grodno
<Ed_Harris>	Ed Harris
<Istituto_Centrale_delle_Banche_Popolari_Italiane>	Istituto Centrale delle Banche Popolari Italiane
<BMW_5_Series_(E39)>	BMW 5 Series (E39)
<André_Morell>	André Morell
<Fernando_Codá_Marques>	Fernando Codá Marques
<Kelly_Thornton>	Kelly Thornton
<Clayton_Kershaw>	Clayton Kershaw
<Blackburn_Rovers_F.C.>	Blackburn Rovers F.C.
<Cecilia_(Burney_novel)>	Cecilia (Burney novel)
<Squirrel_Nut_Zippers>	Squirrel Nut Zippers
<Otto_Frank>	Otto Frank
<Brigitte_Bardot>	Brigitte Bardot
<Joanna_Moore>	Joanna Moore
<Carmencita_Reyes>	Carmencita Reyes
<GeneTree>	GeneTree
<Emilia_Fox>	Emilia Fox
<Richard_Scheller>	Richard Scheller
<Waitstill_Sharp>	Waitstill Sharp
<The_Count_of_Monte_Cristo>	The Count of Monte Cristo
<Eric_Bowden>	Eric Bowden
<James_Tour>	James Tour
<Billy_Clarke_(footballer,_born_1987)>	Billy Clarke (footballer, born 1987)
<Matt_Mason_(author)>	Matt Mason (author)
<Martin_David_Kruskal>	Martin David Kruskal
<Joe_Weider>	Joe Weider
<Justin_Theroux>	Justin Theroux
<Orlando,_Florida>	Orlando, Florida
<Scotland>	Scotland
<Alveo_Financial_Tower>	Alveo Financial Tower
<Conservative_Party_(UK)>	Conservative Party (UK)
<Stockholm_University>	Stockholm University
<Edin_Džeko>	Edin Džeko
<Edmond_de_Rothschild_Group>	Edmond de Rothschild Group
<Nancy_Garlock_Edmunds>	Nancy Garlock Edmunds
<Piper_Laurie>	Piper Laurie
<Ralph_Hay>	Ralph Hay
<St._Agnes'_Church_(New_York_City)>	St. Agnes' Church (New York City)
<Massachusetts_State_House>	Massachusetts State House
<Victor_A._McKusick>	Victor A. McKusick
<Amido_Baldé>	Amido Baldé
<C.F._União>	C.F. União
<Chris_Bangle>	Chris Bangle
<Anne_T._Hill>	Anne T. Hill
<Lindsay_C._Howard>	Lindsay C. Howard
<York_City_F.C.>	York City F.C.
<HNA_Infrastructure>	HNA Infrastructure
<Betty_Buckley>	Betty Buckley
<Mariyam_Mukku>	Mariyam Mukku
<Aydın_Menderes>	Aydın Menderes
<Costas_Panagopoulos>	Costas Panagopoulos
<Television_Centre,_London>	Television Centre, London
<Willie_Fernie_(golfer)>	Willie Fernie (golfer)
<Sandlot_(company)>	Sandlot (company)
<Hancock's_Half_Hour>	Hancock's Half Hour
<Serbian_Railways>	Serbian Railways
<Austria>	Austria
<Clay_Research_Award>	Clay Research Award
<Nuova_Cassa_di_Risparmio_di_Ferrara>	Nuova Cassa di Risparmio di Ferrara
<Shrek>	Shrek
<Christian_Karembeu>	Christian Karembeu
<Mikel_Arteta>	Mikel Arteta
<BPER_Banca>	BPER Banca
<Virgen_de_Copacabana>	Virgen de Copacabana
<John_Payne_(actor)>	John Payne (actor)
<Banca_IMI>	Banca IMI
<CD_Basconia>	CD Basconia
<The_Melting_Pot_(play)>	The Melting Pot (play)
<Solon_Spencer_Beman>	Solon Spencer Beman
<Nuevo_Estadio_Azul>	Nuevo Estadio Azul
<Lise_Meitner>	Lise Meitner
<Raghuveer_Chaudhari>	Raghuveer Chaudhari
<The_Navigators_(film)>	The Navigators (film)
<Terence_Tao>	Terence Tao
<Horace_H._Coolidge>	Horace H. Coolidge
<Michael_Hector>	Michael Hector
<BBC>	BBC
<Bhagavad_Gita_(film)>	Bhagavad Gita (film)
<China_National_Aviation_Holding>	China National Aviation Holding
<Gordon_Allen_Newkirk,_Jr.>	Gordon Allen Newkirk, Jr.
<Peter_Colman>	Peter Colman
<Get_Well_Soon_(TV_series)>	Get Well Soon (TV series)
<Franck_Moussa>	Franck Moussa
<HAL_Laboratory>	HAL Laboratory
<Massillon_Tigers>	Massillon Tigers
<Hugo_Leal>	Hugo Leal
<Saira_Shah>	Saira Shah
<James_R._Arnold>	James R. Arnold
<MKE_Ankaragücü>	MKE Ankaragücü
<Mr._Robot_(TV_series)>	Mr. Robot (TV series)
<Dulwich_Hamlet_F.C.>	Dulwich Hamlet F.C.
<Robert_Curbeam>	Robert Curbeam
<How_to_Lose_Friends_&_Alienate_People_(memoir)>	How to Lose Friends & Alienate People (memoir)
<Samantha_Power>	Samantha Power
<Edward_Feigenbaum>	Edward Feigenbaum
<Volker_Schlöndorff>	Volker Schlöndorff
<Dil_Deke_Dekho>	Dil Deke Dekho
<Antonio_Puche>	Antonio Puche
<Tetrahedron_Prize>	Tetrahedron Prize
<Aalborg_station>	Aalborg station
<New_Alexandra_Theatre>	New Alexandra Theatre
<Belweder>	Belweder
<Empress_Michiko>	Empress Michiko
<Kristina_Adolphson>	Kristina Adolphson
<Stoke_City_F.C.>	Stoke City F.C.
<Andha_Yug>	Andha Yug
<Hole_railway_station>	Hole railway station
<Metropolitan_Railway>	Metropolitan Railway
<Alfred_L._Kroeber>	Alfred L. Kroeber
<Steve_Sidwell>	Steve Sidwell
<W._S._Lach-Szyrma>	W. S. Lach-Szyrma
<William_R._Moses>	William R. Moses
<Robert_Wringham>	Robert Wringham
<Guinn_\u0022Big_Boy\u0022_Williams>	Guinn \u0022Big Boy\u0022 Williams
<Uniroyal_Giant_Tire>	Uniroyal Giant Tire
<Vonetta_McGee>	Vonetta McGee
<Corinne_Calvet>	Corinne Calvet
<Alexander_Alexandrovich_Makarov>	Alexander Alexandrovich Makarov
<Tracy_Hickman>	Tracy Hickman
<Godshill_railway_station>	Godshill railway station
<David_Davis_(Supreme_Court_justice)>	David Davis (Supreme Court justice)
<The_Laughter_Show>	The Laughter Show
<Musa_Cälil>	Musa Cälil
<Ogden_L._Mills>	Ogden L. Mills
<Sean_Murray_(composer)>	Sean Murray (composer)
<Alvin_M._Weinberg>	Alvin M. Weinberg
<Walter_Reed_Tropical_Medicine_Course>	Walter Reed Tropical Medicine Course
<Henry_Kennedy_(architect)>	Henry Kennedy (architect)
<Harry_Shearer>	Harry Shearer
<Donald_Wills_Douglas_Sr.>	Donald Wills Douglas Sr.
<Yvette_Williams>	Yvette Williams
<University_of_Belgrade>	University of Belgrade
<Gustave_E._Steinback>	Gustave E. Steinback
<Going_the_Distance_(2010_film)>	Going the Distance (2010 film)
<The_Year_of_the_Hare_(novel)>	The Year of the Hare (novel)
<Vetlesen_Prize>	Vetlesen Prize
<Roderick_MacKinnon>	Roderick MacKinnon
<The_Wind_in_the_Willows_(TV_series)>	The Wind in the Willows (TV series)
<Rod_Serling>	Rod Serling
<Jaime_Bergman>	Jaime Bergman
<S.C._Farense>	S.C. Farense
<Kemal_Curić>	Kemal Curić
<Canada_98>	Canada 98
<Matt_Smith_(footballer,_born_1989)>	Matt Smith (footballer, born 1989)
<Andrew_Davies_(writer)>	Andrew Davies (writer)
<Arthur_Holmes>	Arthur Holmes
<Maxim_Kontsevich>	Maxim Kontsevich
<State_Street_Corporation>	State Street Corporation
<Gerd_Faltings>	Gerd Faltings
<America_One>	America One
<John_Rogers_(baseball)>	John Rogers (baseball)
<A.F.C._Bournemouth>	A.F.C. Bournemouth
<Barry_Mazur>	Barry Mazur
<Daniel_Pope_Cook>	Daniel Pope Cook
<Alex_Sink>	Alex Sink
<Xander_Berkeley>	Xander Berkeley
<Throw_That_Boy_Pussy>	Throw That Boy Pussy
<Lew_Cody>	Lew Cody
<Nancy_Lord>	Nancy Lord
<Arc_Light_(novel)>	Arc Light (novel)
<St_Patrick's_Athletic_F.C.>	St Patrick's Athletic F.C.
<RCD_Espanyol>	RCD Espanyol
<Presidential_Medal_of_Freedom>	Presidential Medal of Freedom
<Arnoldo_Mondadori_Editore>	Arnoldo Mondadori Editore
<Richard_Gibbs>	Richard Gibbs
<Martin_Cranie>	Martin Cranie
<Commonwealth_Liberal_Party>	Commonwealth Liberal Party
<Order_of_Leopold_(Austria)>	Order of Leopold (Austria)
<A_River_Sutra>	A River Sutra
<Jerome_Kern>	Jerome Kern
<Bernard_Curry>	Bernard Curry
<Nargis>	Nargis
<M._Frederick_Hawthorne>	M. Frederick Hawthorne
<Anneke_Wills>	Anneke Wills
<Peter_Hain>	Peter Hain
<A._G._L._Shaw>	A. G. L. Shaw
<Alan_Beddoe>	Alan Beddoe
<Carolyn_McCarthy>	Carolyn McCarthy
<Forbidden_Broadway>	Forbidden Broadway
<Mirko_Stefani>	Mirko Stefani
<Naismith_College_Coach_of_the_Year>	Naismith College Coach of the Year
<TPC_Potomac_at_Avenel_Farm>	TPC Potomac at Avenel Farm
<Thea_von_Harbou>	Thea von Harbou
<Brad_Pitt>	Brad Pitt
<Robert_Ginty>	Robert Ginty
<Adams_Prize>	Adams Prize
<William_McIlvanney>	William McIlvanney
<Dorothy_Dalton>	Dorothy Dalton
<Susan_Solomon>	Susan Solomon
<Kill_Me_Quick>	Kill Me Quick
<Vera_Miles>	Vera Miles
<Paul_Valentine>	Paul Valentine
<The_Birds_(play)>	The Birds (play)
<José_Sarney>	José Sarney
<International_Petroleum_Investment_Company>	International Petroleum Investment Company
<Ted_Chabasinski>	Ted Chabasinski
<Ciro_Gomes>	Ciro Gomes
<World_Bank>	World Bank
<Sanzaru_Games>	Sanzaru Games
<King's_Ely>	King's Ely
<André_Bettencourt>	André Bettencourt
<Gawdat_Bahgat>	Gawdat Bahgat
<Hugo_Meynell>	Hugo Meynell
<Gilean_McVean>	Gilean McVean
<Gary_Cooper>	Gary Cooper
<DEPA>	DEPA
<Dream_Park>	Dream Park
<X+Y>	X+Y
<CVS_Pharmacy>	CVS Pharmacy
<Luna_(Peters_novel)>	Luna (Peters novel)
<Sylvia_Plath>	Sylvia Plath
<Michael_Lembeck>	Michael Lembeck
<Six_TV>	Six TV
<Harvey_Weinstein>	Harvey Weinstein
<Akhil_Sharma>	Akhil Sharma
<Ann_Sheridan>	Ann Sheridan
<Lierse_S.K.>	Lierse S.K.
<The_Curious_Savage>	The Curious Savage
<Vitória_F.C.>	Vitória F.C.
<Rob_Kiernan>	Rob Kiernan
<James_Otto_Lewis>	James Otto Lewis
<Leon_Uris>	Leon Uris
<Marshall_Space_Flight_Center>	Marshall Space Flight Center
<Good_Machine>	Good Machine
<Clarke_Medal>	Clarke Medal
<Heidi_Lenhart>	Heidi Lenhart
<Morena_Baccarin>	Morena Baccarin
<Tipper_Gore>	Tipper Gore
<Big_Ant_Studios>	Big Ant Studios
<Emil_Wiesel>	Emil Wiesel
<Ox-Cart_Man>	Ox-Cart Man
<Pennsylvania_State_University>	Pennsylvania State University
<Rudolph_Krejci>	Rudolph Krejci
<Paul_Gascoigne>	Paul Gascoigne
<Dale_Ishimoto>	Dale Ishimoto
<Juan_Pan_Guerrero>	Juan Pan Guerrero
<Bulgarian_Communist_Party>	Bulgarian Communist Party
<The_Strange_World_of_Mr._Mum>	The Strange World of Mr. Mum
<Richard_Branson>	Richard Branson
<Lee_Weaver>	Lee Weaver
<James_Samuel_Denton>	James Samuel Denton
<University_of_Warwick>	University of Warwick
<FC_Kryvbas_Kryvyi_Rih>	FC Kryvbas Kryvyi Rih
<The_Five_Heartbeats>	The Five Heartbeats
<Richard_Upjohn>	Richard Upjohn
<Joaquín_Moso>	Joaquín Moso
<Robert_McNamara>	Robert McNamara
<Kildare_Cathedral>	Kildare Cathedral
<China_International_Capital_Corporation>	China International Capital Corporation
<Arcade_(comics_magazine)>	Arcade (comics magazine)
<Percy_Abbott_(Australian_politician)>	Percy Abbott (Australian politician)
<Tose_(company)>	Tose (company)
<Laurette_Spang-McCook>	Laurette Spang-McCook
<Peter_Murray-Hill>	Peter Murray-Hill
<Beenox>	Beenox
<The_Passion_(Netherlands)>	The Passion (Netherlands)
<Edward_Norris>	Edward Norris
<Kenan_Doğulu>	Kenan Doğulu
<Castle_of_Shikigami_III>	Castle of Shikigami III
<Karl_August_Ferdinand_von_Borcke>	Karl August Ferdinand von Borcke
<Raining_Stones>	Raining Stones
<Line_Corporation>	Line Corporation
<Joji_Nagashima>	Joji Nagashima
<Jorge_Perona>	Jorge Perona
<Hughes_Medal>	Hughes Medal
<Croatia_national_under-19_football_team>	Croatia national under-19 football team
<Italy>	Italy
<Abdüllatif_Şener>	Abdüllatif Şener
<Animation_Magic>	Animation Magic
<Stuart_Lancaster_(actor)>	Stuart Lancaster (actor)
<Southampton_F.C.>	Southampton F.C.
<Stevenage_F.C.>	Stevenage F.C.
<Christopher_Hinton,_Baron_Hinton_of_Bankside>	Christopher Hinton, Baron Hinton of Bankside
<Amy_Irving>	Amy Irving
<Charles_McDowall>	Charles McDowall
<Thomas_Love_Peacock>	Thomas Love Peacock
<Zheng_Geping>	Zheng Geping
<C.D._Santa_Clara>	C.D. Santa Clara
<Joe_Chen>	Joe Chen
<L._M._Kit_Carson>	L. M. Kit Carson
<Lewis_A._McArthur>	Lewis A. McArthur
<Nick_Jr._(Turkmenistan)>	Nick Jr. (Turkmenistan)
<Field_Communications>	Field Communications
<Felix_Klein>	Felix Klein
<Max_Born>	Max Born
<Alexandra_Wentworth>	Alexandra Wentworth
<Geoffrey_Hinton>	Geoffrey Hinton
<Enrico_Letta>	Enrico Letta
<Ida_Halpern>	Ida Halpern
<Cookie_Jar_Toons>	Cookie Jar Toons
<Sport_Club_Corinthians_Paulista>	Sport Club Corinthians Paulista
<Paulo_Alves>	Paulo Alves
<Jeremiah_O'Rourke>	Jeremiah O'Rourke
<Julie_Chen>	Julie Chen
<Paul_\u0022Bear\u0022_Bryant_Award>	Paul \u0022Bear\u0022 Bryant Award
<Pieter_Zeeman>	Pieter Zeeman
<Kenneth_Lonergan>	Kenneth Lonergan
<Mary_Kay_Bergman>	Mary Kay Bergman
<Nevin_S._Scrimshaw>	Nevin S. Scrimshaw
<Jane_Engelhard>	Jane Engelhard
<Lomonosov_Gold_Medal>	Lomonosov Gold Medal
<The_Foundations_of_Arithmetic>	The Foundations of Arithmetic
<University_of_Montpellier>	University of Montpellier
<Newport_County_A.F.C.>	Newport County A.F.C.
<Charles_Eliot_(landscape_architect)>	Charles Eliot (landscape architect)
<Aberdeen_F.C.>	Aberdeen F.C.
<J._I._Packer>	J. I. Packer
<Southside_with_You>	Southside with You
<Peter_Nowell>	Peter Nowell
<Aimee_Chan>	Aimee Chan
<American_Association_of_Anatomists>	American Association of Anatomists
<Barry_Ackerley>	Barry Ackerley
<Princess_Elisabeth,_Duchess_in_Bavaria>	Princess Elisabeth, Duchess in Bavaria
<Faith_Healer>	Faith Healer
<Isadore_Singer>	Isadore Singer
<Edward_M._Hundert>	Edward M. Hundert
<Maureen_Connell>	Maureen Connell
<Patrick_Fischler>	Patrick Fischler
<O_Tannenbaum>	O Tannenbaum
<Karol_J._Bobko>	Karol J. Bobko
<Jhumpa_Lahiri>	Jhumpa Lahiri
<Ian_Hislop>	Ian Hislop
<Lachlan_Macleay>	Lachlan Macleay
<Undark>	Undark
<James_Beveridge>	James Beveridge
<Ernst_Mayr>	Ernst Mayr
<Wonder_Boys>	Wonder Boys
<Adriana_Caselotti>	Adriana Caselotti
<Death_Rides_the_Range>	Death Rides the Range
<State_Export-Import_Bank_of_Ukraine>	State Export-Import Bank of Ukraine
<Gianluca_De_Angelis_(footballer,_born_1981)>	Gianluca De Angelis (footballer, born 1981)
<Peggy_Parratt>	Peggy Parratt
<Ljan_Station>	Ljan Station
<Steven_Weinberg>	Steven Weinberg
<Raven-Symoné>	Raven-Symoné
<Robert_J._O'Neill>	Robert J. O'Neill
<David_Gross>	David Gross
<Goethe_Prize>	Goethe Prize
<Studio_23>	Studio 23
<Joy_Page>	Joy Page
<Digital_Mars>	Digital Mars
<Inside_the_Actors_Studio>	Inside the Actors Studio
<SundanceTV>	SundanceTV
<Harshad_Trivedi>	Harshad Trivedi
<Plymouth_Argyle_F.C.>	Plymouth Argyle F.C.
<Princeton_Club_(Philadelphia)>	Princeton Club (Philadelphia)
<Rafael_van_der_Vaart>	Rafael van der Vaart
<Barryville–Shohola_Bridge>	Barryville–Shohola Bridge
<Margaret_McNamara>	Margaret McNamara
<Michael_Angelis>	Michael Angelis
<Sheraton_Mexico_City_Maria_Isabel_Hotel>	Sheraton Mexico City Maria Isabel Hotel
<Hicri_Fişek>	Hicri Fişek
<Geyserland_FM>	Geyserland FM
<Marlies_Deneke>	Marlies Deneke
<Republican_Party_(United_States)>	Republican Party (United States)
<Cassius_Marcellus_Clay_(politician)>	Cassius Marcellus Clay (politician)
<R._J._B._Bosworth>	R. J. B. Bosworth
<Cinderella_(Ashton)>	Cinderella (Ashton)
<Pnin>	Pnin
<Granada_plc>	Granada plc
<Alfred_Cross>	Alfred Cross
<Marshall_Berman>	Marshall Berman
<William_Smith_(South_Carolina_senator)>	William Smith (South Carolina senator)
<Forrest_S._Petersen>	Forrest S. Petersen
